Producto,Medidas,Linea
UNICICLINA 200 L.A,"

200 mg","Bovinos, ovinos, caprinos y porcinos"
EXTREME CLASSIC,"

100 %",Felinos
AMICAPS 12.5% EC,"

125 g",Bovinos
PROFENDER,"

85.75 mg
21.43 mg",Felinos
LEVAMIN 12% POLVO ORAL,"

117.9 mg","Bovinos, ovinos, caprinos y orcinos"
PROSTAGLANDINA VECOL,"

250 mcg","Bovinos, equinos y porcinos"
FLUMIDERM,"

2 g
0.50 g
0.05 g
","Bovinos, equinos, porcinos, ovinos, caprinos, caninos y felinos"
UNIMIN,"


874 mg

670 mg

200 mg

800 mg

","Bovinos, Equinos, Ovinos, Caprinos, Porcinos, Caninos y Felinos
"
ELIMSOL,"


1.16 g
0.20 g",Caninos y Felinos
AMINO AVIC POLVO SOLUBLE,"


1000000 U.I.
125000 U.I.
1500 U.I.
0.59 g
1.2 g
0.35 g
0.07 g
0.2 g
0.15 g
0.0025 g
0.0005 g
5 g
0.02 g
19.2 g
0.4 g
30.4 g
",Aves
SPECTRAMAST LC,"


    12.5 mg",Bovinos
LEVAMIN 12% INYECTABLE,"


   117.9 mg.","Bovinos, Ovinos, Caprinos y Porcinos"
ESTRADIOL,"


    0.25 g.","Bovinos, Equinos, Porcinos, Caninos y Felinos"
IVERMIC C,"


    1 g.
  10 g.",Bovinos
CONDROVET TASTE,"


500 mg.
30 mg.
18 mg.
",Caninos y Felinos
ELANCID,"


   4 mg.
0.8 mg.","Bovinos, Ovinos y Caprinos"
AMINOQUEL LECHONES,"


555 mg.",Porcinos
VETERIN 10%,"


    10 g.",Aves y Porcinos
TETRAPLUS 20%,"



    20 g.",Aves y Porcinos
OVULOS INTRAUTERINOS OVER,"
600 mg.
200 mg.",Bovinos
CEFTIOFUR SÓDICO,"                               0,05 g","Bovinos, porcinos y equinos "
QUINOVEEX N-20,20 g,Aves
IMIDOGAN,"


    12 g.","Bovinos, Equinos y Caninos"
LIQUID FORD DOGS AND CATS,"

3.9 g.                          0.2. g",Caninos y Felinos
STIMOVIT,"


0.01 g.
0.05 g.
1.0 g.
0.01 g.
50.0 g.
3.5 g.
0.2 g.
0.12 g.
0.05 g.



0.008 g.
","Bovinos, Equinos, Porcinos y Caninos"
COAT CITRUS SHAMPOO,"

1 g.                                                        1 g.",Caninos
CONDROTON 500,"

100 mg.
150 mg.
25 mg.
25 mg.
10 mg.",Caninos y Felinos
CONDROTON 1000,"

200 mg.
300 mg.
50 mg.
50 mg.
20 mg.",Caninos y Felinos
UNISULPRIM,"

200 mg.
40 mg.","Bovinos, Porcinos y Aves"
BIOFACT,"

200 g.
200 g.",No aplica
CYCLIX,"

263 mcg.","Bovinos, Equinos y Porcinos"
SHAMPOO PERLA BLANCA,"

26.5 g.",Caninos
FLOXEN 10,"

100 mg.",Bovinos y Porcinos
LEV AMIN FOSFATO,"

223 mg.","Bovinos, Ovinos, Caprinos y Porcinos"
ADVOCATE PARA GATOS,"

100 mg.
10 mg.
",Felinos
TENOPA SC,"

30 g.
30 g.",No aplica
EXCEDE,"

100 mg.",Porcinos
ADVOCATE PARA PERROS,"

100 mg.
25 mg.",Caninos
COAT TENDER CARE PUPPY SHAMPOO,                                1 g.                          0.5 g.,Caninos
COAT BLACK PEARL SHAMPOO,"

0.39 g.
0.39 g.

",Caninos
COAT WHITE PEARL SHAMPOO,"                           0.39 g.
",Caninos
LIPO-FORM,"35000 U.I.
3500 U.I. 
20 mg.
70 mg.
50 mg.
200 mg. 
17 g. 
38.8 g. 
5.4 g. 
9.6 g. 
1 g. ",Caninos y Felinos
KETAMID,"

50 mg.
2 mg.",Caninos y Felinos
NITROMIC IVER,"

1 g.
34 g.",Bovinos
MURAVE,"
15 g.
",No aplica
POLY PHEN,"

12,24 g
11,08 g
4,12 g
",
ZERANOL OVER,"

 1 g",
FLOXEN 10 ORAL,"

100 mg",
UNIMECTINE PETS,"

2 mg",
CLORTETRACICLINA 20% GRANULAR,"


200 g",Aves
FORTIUS L.A.,"

10 g","Bovinos, Ovinos, Porcinos y Caprinos"
LUTAPROST 250,"

0.263 mg","Bovinos, ovinos, caprinos, equinos, camelidos"
CLARION,"

20 g
20 g",
ZEMAMIX,"


100 g
40 g",Aves 
GLUTELLAC,,
ITAMOX,"


20 g",
CARTIFLEX COMPLEX,"

100 g.
27 g.
27 g.
2.5 g.",Equinos
SIEGE,"

2 g.",No aplica
ALAMINE,"

10 g.","Bovinos, Ovinos y Caprinos"
TABERNIL LEVAMISOL,"

75 mg.","Canarios, Pericos, Carolinas, Catatuas y Palomas"
WORMNIL,"

3.7 mg.
46.2 mg.",Equinos
IVERMIC 3.15% PREMIUM,"

3.15 g.",Bovinos
AMCOX,"


5 g.",Aves y Bovinos
IVOCIP,"

10 mg.",Bovinos y Porcinos
FIRPRONEX SPRAY,"

0.25 g.",Caninos y Felinos
LIVAFOS Se,"

110 mg.
0.04 mg.
26.4 mg.
20 mg.
5 mg.","Bovinos, Ovinos, Caprinos, Porcinos y Equinos"
DERMOFIN CREMA,"

200 mg.
2000 mg.
82.35 mg.",Caninos y Felinos
MELOXIFIN COMPRIMIDOS 2 mg,"

2 mg.",Caninos
CYDECTIN ONYX,"

10 g.",Bovinos
UBRONE,"

20.000 U.I
56.000 U.I
20 mg.",No informa
EDUPET CONCENTRADO,"

0.066g.",Caninos y Felinos
DRAXXIN,"

100 mg.",Bovinos y Porcinos
DOXICICLINA 50 PS,"


500 g.","Porcinos, Bovinos y Aves"
FIPRO TOPSPOT,"

10 g.",Caninos y Felinos
ZIXVIROX,"


250 mL.
50 mL.",No aplica
RICOFINO,"

100 mg.
50 mg.
114 mg.",Caninos
MAXITYL,"

100 g.",Aves y Porcinos
REPRODUSE,"

10 g.
0.033 g.","Bovinos, Equinos, Ovinos, Caprinos, Porcinos y Caninos"
EDUPET APLICACIÓN DIRECTA,"

0.048 g.",Caninos y Felinos
EDUPET GRANULADO,"

0.205 g.",Caninos y Felinos
OTOGEN,"

300 mg.
1000 mg.
122 mg.",Caninos
INOFEN 10%,"

10 g","Bovinos, Equinos, Caninos, Felinos y Porcinos"
FENDONA 5WP,"

50 g",No aplica
PROTOGAN,"

400 mg.
80 mg.","Bovinos, Equinos, Porcinos y Ovinos"
IVERMECTINA 3.15% ,"

3.15 g.",Bovinos
INOFLOR 30%,"

30 g.",Bovinos y Porcinos
TIAGRAN 800,"


80 g.",Porcinos
PETRA SHAMPOO ESPUMA EN SECO,"

3.182 g.",Caninos
CRECEFAST,"

10 mg.",Bovinos
PETRA SHAMPOO PARA PELAJE CLARO,"

8 g.",Caninos
PETRA COLONIA PARA PERROS Y GATOS,"

1.343 g.",Caninos y Felinos
PETRA SHAMPOO NEUTRO PARA TODAS LAS RAZAS,"

8.95 g.",Caninos
MASTER LP,"

4 g.
",Bovinos
PETRA SHAMPOO SECO PARA PERROS Y GATOS,"

9.20 g.",Caninos y Felinos
OXITETRACICLINA 5%,"

5 g.","Bovinos, Ovinos, Caprinos y Porcinos"
ANGERSOL L,"

20 g.",Aves y Porcinos
IVERMECTINA 1%,"

1 g.","Bovinos, Ovinos y Porcinos"
DERMISAN,"

2.39 g.
5.75 g.
2.39 g.
1.91 g.
1.43 g.",Caninos
ADRENALINA VET,"

1 mg.","Bovinos, Equinos, Ovinos, Porcinos, Caninos y Felinos"
ESTREPTOPENICILINA,"

200.000 U.I
314 mg.","Bovinos, Ovinos, Equinos, Porcinos, Caninos y Felinos"
OTICIP,"

3 mg.
1 mg.
10 mg.",Caninos
CARE-O-PET 100 mg.,"

100 mg.",Caninos
OXITETRACICLINA 20%,"

20 mg.","Bovinos, Ovinos, Caprinos y Porcinos"
BUTAGESIC,"

1 g.",Equinos
SPIRAGYL TABLETAS,"

750.000 U.I
125 mg.",Caninos y Felinos
COOLJOINT,"


20 mg.
6.2 mg.
2 mg.
",Equinos
OTICLEAR,"25 mg.
1 mg.",Caninos y Felinos
RESPEMIN,,
OTIPLUS,"
23 mg.
5 mg.
5500 UI",Caninos y Felinos
INOTYL 200,"Cada 100 mL. de suspension inyectable contiene:
Tilosina (como tartrato)","Bovinos, Ovinos, Caprinos y Porcinos"
IVOCIP PASTA ORAL,"
4.8 mg.",Equinos
PREVENTIC COLLAR,"

2.475 g.",Caninos
COLIMIX,"

720.000.000 U.I",Aves y Porcinos
ZERALON,"

1 g.",Bovinos
LONOMICIN M,"


1 g.",Aves
VETRIDERM OTIC,"

0.25 g.
30 g.
0.5 g.
0.1 g.",Caninos
VETRIDERM SHAMPOO PEROXIDO DE BENZOILO 3%,"

3 g.
0.5 g.",Caninos
VETRIDERM SHAMPOO CLORHEXIDINA 0.5%,"

0.5 g.",Caninos y Felinos
CEVAMUNE,"

1.5 g.
1.2 g.",Aves
PETRA SHAMPOO ALOE VERA,"

6 g.",Caninos
MICOHEX CHAMPU,"

20 mg.
0.11 mL.",Caninos y Equinos
ARTRIDOG,"

1800 mg.
600 mg.
49.2 mg.
126 mg.",No aplica
CALIERMUTIN 45% POLVO SOLUBLE,"


562.5 mg.",Aves y Porcinos
EFICUR,"

50 mg.",Bovinos y Porcinos
VETRIDERM SHAMPOO ACIDO SALICILICO 2.5%,"

2.5 g.
1 g.
0.5 g.",Caninos
POLYQUAT 40,"

40.0 mL.",No aplica
DOXYPREX,"


100 mg.",Porcinos
CALIERMUTIN 12.5% SOLUCION ORAL,"

125 mg.",Aves y Porcinos
ELECTOR ™ PSP,"

480 g",No aplica
FLUNEQUIN PASTA,"

1500 mg.",Equinos
VETRIDERM SHAMPOO ACIDOS GRADOS MAS PANTENOL,"


1 g.
0.5 g.
0.11 g.
0.5 g.
0.05 g.",Caninos y Felinos
VETRIDERM SHAMPOO PIEL SENSIBLE,"

9.96 mg.
1 g.

0.5 g.
",Caninos y Felinos
LINCOMICINA 150,"


150 mg.",Porcinos y Aves
PETRA BALSAMO ACONDICIONADOR,"

1.502 g. ",Caninos
CLAREX CAMAS AE,"

652 g.
270 g.
  60 g.
  15 g.
    3 g.","Bovinos, Porcinos, Ovinos, Caprinos y Aves."
ACTI-SPECTIN 110,"


110 g.
110 g.",Porcinos y Aves
BAYTRIL 10% SOLUCION INYECTABLE,"

10 mg.",Bovinos y Porcinos
RODOTET PREMIX,"

100 mg
33 mg",Porcinos
DORZOLAMIDA 2%,"

20 mg.",Caninos y Felinos
OFTAL 3,"

3.5 mg.
5000 U.I 
0.025 mg.",Caninos y Felinos
VETALOVER,"

6 mg.","Bovinos, Equinos, Caninos y Felinos"
ESTRADIOL MULTIDOSIS,"

10 mg.","Bovinos, Equinos, Ovinos y Porcinos"
BUTORMIN,"

10 mg.",Caninos y Felinos
17 ALFA METIL TESTOSTERO ,"

1 g.",Peces
UNIFOS NF,"

100 mg.
50 mcg.","Bovinos, Porcinos, Equinos, Ovinos y Aves"
MUCOMUCIL XAROPE,"

20 g.","Equinos, Caninos y Felinos"
INOMIDIUM,"

20 mg.","Bovinos, Ovinos, Caprinos y Equinos"
RODOTIUM 45% GRANULAR SOLUBLE EN AGUA,"

45 g","Aves, Porcinos"
TABERNIL GENTAMICINA,"

10 mg.",Aves
AMOXIVET - PG 40%,"

400 g.","Bovinos, Porcinos y Aves"
PETRA SHAMPOO PELAJE OSCURO,"

8 g.",Caninos
LITAZIX,"

85 g.",Porcinos
VETNIL ENTEREX,"

40 g.
40 g.
10 g.
10 g.","Caninos, Felinos, Caprinos, Porcinos, Ovinos, Equinos, Bovinos y Bufalos"
CLINDAVET,"

25 mg.",Caninos y Felinos
HIPRADOXI-S,"


100 mg.",Aves
GELO PAN,"

1 g.
1 g.
1 g.","Equinos, Bovinos, Caninos y Felinos"
PETCAM,"

5 mg.",Caninos
PETCAM SUSPENSION ORAL,"

1.5 mg.",Caninos
POLYQUAT 450,"

32 g.

10 g.",No aplica
ESPIRACEL 20,"

60.000.000 UI","Bovinos, Ovinos, Caprinos y Porcinos"
BUTAGESIC SOLUCION INYECTABLE,"

200 mg",Equinos
SOLUBRON 20,"

20 mg ","Caninos, Felinos"
SINCROFORTE,"

0,4 mg","Bovinos, Bufalinos y Equinos"
SINCRO CP,"

0.1 g",Bovinos y Equinos
SINCRODIOL,"

0.1 g","Bovinos, Bufalinos"
ATOPEX 50,"

50 mg",Caninos
EQUIX,"

333 mg
67 mg",Equinos
CLORTETRACICLINA 20% PREMEX,"


200 g",Aves
SELENATE L.A,"

50 mg",Bovinos
MEGACAL-M,"


4.6 mg

2 mg",Bovinos
ARENA JONNY CAT SCENTED,No informa,Caninos
PROMERIS DUO,"

150 mg
150 mg",Caninos
PROMERIS  ,"

200 mg",Caninos
OTIFLEX C,"

8 mg.
20 mg.
2.5 mg.",Caninos y Felinos
TILTARDIP-T.A,"

100 g.",Aves y Porcinos
CANI-TABS COMPLEX,600 mg.                        500 mg                          50 mg.                          100 mg.                  ,Caninos y Felinos
ENROFLAND ORAL 20%,"

200 mg.",Aves
PETRA REPELENTE PARA CANINOS Y FELINOS,"

6 g.",Caninos y Felinos
FURANIL SOLUCIÓN,"

0.7 g.","Equinos, Bovinos, Ovinos, Caprinos, Porcinos, Caninos y Felinos "
ISOCOX,"

5 g.",Aves
ATTANE,"

1 mL.
",Equinos y Caninos 
GERIOOX,                                 140 mg.                     150 mg.                   3 mg.                          20 mg.                            0.005 mg.                     50 mg.                              0.2 mL.                                            ,Caninos y Felinos
TOBRAMAX,"

3 mg. 
100 mg.",Caninos y Felinos 
RODOTIUM 10% SOLUCIÓN INYECTABLE,"

0,1 g",Porcinos
DANOFLOX SOLUCIÓN INYECTABLE,"

180 mg",Bovinos
INOMAZENE SOLUCIÓN,"

7 g.",Bovinos y Ovinos
CLAVET-500,"


472.88 mg.

131  mg.",Caninos y Bovinos
CLAVET-50,"


47.29 mg.

13.10 mg.",Caninos y Felinos
VETMOX,"

301.35 mg.",Caninos y Felinos 
DOXIVET,"

100 mg.",Caninos y Felinos 
TYLOCIP,"

20 g.","Bovinos, Ovinos, Caprinos, Porcinos, Caninos y Felinos "
EGASTRO,                                  2.28 g.,Equinos
CLAVET-250,"


236.45 mg.

65.50 mg.",Caninos y Felinos
VETQUIN,"

100 mg.
66.67 mg.",Equinos
PRAZIVET PS,"

50 mg.
144 mg.
150 mg.",Caninos
LONOMICIN MN,"

0.75 g.
8 g.",Aves
VETRIBAC D,"

0.5 g.",Aves
PARANIL,"

18.7 mg.
140.3 mg.",Equinos
ENROCIP 10% P/V,"

100 mg.",Aves
OTC-VET 5%,"

50 mg.","Bovinos, ovinos, caprinos, porcinos, felinos y caninos "
NICARBAZINA-PREMEX,"


1 kg.",Aves
UNIVIT AD3E 500,"500000 UI
75000 UI
50 mg.

 ","Bovinos, Equinos, Porcinos, Ovinos y Caprinos "
CARE-O-PET 50 MG,"

50 mg.",Caninos
TYLOCIP 20%,"

2 g.",Aves
CARE-O-PET 25 MG,"

25 mg.",Caninos
TYLOCIP 50%,"

5 g.",Aves
PROTHEVIT PREMIX,"

1.20 g. 
0.30 g. 
1,20 g.
4 mg. 
4 g.
4 g. 
44 g. 
20 g. 
8 g. 
12 g.",Aves y Porcinos
CONVENIA,                              80 mg.,Caninos y Felinos
ARTIMAX,                            1800 mg.                       600 mg.                    49.17 mg.                 125.99 mg.,Equinos
DEXAMETASONA 0.1%,"

1 mg.",Caninos y Felinos
DOXYCIP 20%,"

20 g.",Aves
GRISEOFULVINA 500,"

500 mg.",Caninos y Felinos 
SURMAX 100,"
100 g.",Aves y Porcinos
CIPDEX,"

4.4 mg.","Bovinos, Bufalinos, Equinos, Porcinos, Caninos y Felinos "
MICROFLUD CEFT LPU,"

5 g.",Bovinos y Porcinos
PENI-STREPTO 20-20,"

20.000.000 UI
20 g",
GLOBUMAS B12,"

40 mg.
100 mg.
150 mg.
15 mcg.","Bovinos, equinos y caninos"
ROYAL CAT CAT LITTER LAVENDER SCENT,"

99 g",Felinos
TEARS,"

20 g",Caninos y felinos 
CLORTETRACICLINA 20% GRANULAR,"

200 g",Aves
OVERPLUS,"


40 mg
136,4 mg
300 mg
40 µg",Bovinos 
SALINOMICINA 12%,"

120 g",Aves
DOXINYL,"

100 mg.","Aves, porcinos, caninos y felinos"
OTC-VET 10%,"

100 mg","Bovinos, ovinos, caprinos, porcinos, felinos y caninos "
APOFLOX 2.5%,"

25 mg",Bovinos y porcinos
MONENSINA 20%,"
200 g",Aves 
PULMONIL GEL,"

2 mg",
DEXORYL,"

0,3 g
4 g
0,0903 g",Caninos y Felinos.
PISA FERRITON,"

200 mg.",Bovinos y Porcinos.
BABEX,"

120 mg.","Bovinos, Equinos, Ovinos Y Caninos."
OXYFLUMIN 300 L.A.,"

300 mg. 
  20 mg.",Bovinos.
ENROFLOXACINA,"

100 mg.",Bovinos
VETPRO 60%,"

60 g.",Aves
ACTYNOXEL PISA,"

0,05 g",Bovinos
IVOCIP F,"

  10 mg.
100 mg.",Bovinos
"COXIDIL 2,5%","

2,5 g.",Aves
FLUGESIC,"

50 mg.",Equinos y Caninos.
ERAQUELL PELLETS,"


100 mg.",Equinos 
DELLA BARRIER,0.01 g.,Bovinos
,,
,,
,,
,0.01 g.,
CELAQ INYECTABLE,"

50 mg.",Bovinos y Porcinos.
BETAMINT,"

250 g.
  90 g.
    2 g.
    4 g.
  20 g.
  40 g.",Aves y Porcinos.
AZITROMICINA,"

200 mg",
OCUBIOTIC COLIRIO CON ESTEROIDES,"

10 mg

5 mg
400 UI
10000 UI
10 mg
",
SOLUCION HT PISA,"

 0.2 mg.
 0.3 mg.
    6 mg.
 3,1 mg.
",Todas.
"SOLUCION CS PISA 7,5%","

75 mg.",No informa
SOLUCION CS PISA,"

9 mg.",No informa
OCUBIOTIC,"

       5 mg.

    400 UI
10000 UI
     10 mg.","Caninos, Felinos y Equinos."
AMX PISA LA,"

17,22 g","Bovinos, Ovinos, Caprinos, Equinos, Porcinos, Caninos y Felinos."
AMX PISA  50% SOLUBLE,"

50 g.","Bovinos, Porcinos y aves."
MALEATO DE ERGONOVINA,"

0,6 mg.","Bovinos, Ovinos,  Caprinos y Porcinos."
OSTEORCART PLUS,"

220. 87 mg.
     52.2 mg.
     8.35 mg.
     4.18 mg.
    4.18. mg.
     8.35 mg.
   6.261 mg.
   16.91 mg.
   10.46 mg
   10.46 mg.
     1.46 mg.
   0.005 mg.",Caninos.
APROPINA 1%,"

10 mg.",Caninos y Felinos.
DOXIVEEX (PERROS MEDIANOS Y GRANDES),"

100 mg.",Caninos.
KILTIX COLLAR,"

       1 g.
0.225 g.",Caninos
CID 2000,"

  55 g.
210 g.","Aves, Porcinos, bovinos y Conejos."
COPOCITOS LIMPIEZA DE OJOS,"
   
   1.5 g.
   0.9 g.
   1.5 g.
   0.1 g.
   0.1 g.
 0.02 g.
 100 ml.",Caninos y Felinos.
COPOCITOS LIMPIEZA DE OREJAS,"

    0.5 g.
    5.0 g.
     20 g.
    2.0 g.
    1.5 g.
    1.0 g.
    0.9 g.
    0.7 g.
1000 ml.
",Caninos y Felinos.
COPOCITOS LIMPIEZA DE DIENTES,"

0,2 g.",Caninos y Felinos.
COPOCITOS ANTIBACTERIAL PARA LIMPIEZA DE HERIDAS,"

1.0 g.
1.0 g.",Caninos y Felinos.
VETPRO 20%,"

20 g.","Aves, Bovinos y Ovinos."
PYRID PASTA,"

11,4 g.",Equinos
REGUMATE PORCINO,"

4 mg.",Porcinos.
OTIFLEX LIMPIADOR,"

   2 g.
  5 mL.
2,5 g.
0,4 g.",Caninos y Felinos.
NAPZIN PISA AGROPECUARIA ,"

82,95 mg.","Bovinos, equinos, porcinos y Caninos."
CORTAVANCE,"

0,584 mg.",Caninos.
NEOMED 325 POLVO SOLUBLE,"

714 mg","Aves, Bovinos, Caprinos, Ovinos, Porcinos."
SOLUCION DX-50 PISA,"

55 g.",No informa
ECOMAX,"

20 g.",Aves.
CEFTICURE,"

50 mg.","Bovinos, Porcinos y Equinos."
MOV,"

        420 mg.
      1000 mg.
        420 mg.
        210 mg. 
        210 mg.
        210 mg.  
          50 mg.  
         200 mg. 
         200 mg. 
             2 mg.
           15 mg.  
           10 mg. 
           42 mg. 
       1500 mg. 
         210 mg. 
        5000 ug. 
2.000.000 UI ","Bovinos, Ovinos y Caprinos."
MASTENZIN,"

          8 mg.
          8 mg.
          4 mg. 
      120 mg. 
100.000 Ul",Bovinos.
RICOVET 10,"

10 g.",
PROTALL VP,"


18,8 mg.","Bovinos, Ovinos, Caprinos y Porcinos."
VELLÉECALCIO GLUCOSADO,"

20.4 g.
  1.6 g.
1.39 g.
     5 g.
  0.7 g
","Bovinos, Equinos, Ovinos, Porcinos, Caprinos y  Caninos."
"VACOXAN 2,5 MG/ML SUSPENSION ORAL","

2,5 mg.",Bovinos.
COXIDIL,"

50 mg.",Bovinos y Porcinos.
ANAPIRO,"


100 mg.
  50 mg.","Bovinos, Ovinos y Caprinos."
XILAZINA 2%,"

20 mg.",No informa
LINCOMAX 11,"


110 g.",Porcinos y Aves.
ARENA PARA GATOS KLINKAT,"

95 g.",Felinos
IMPACTO PULVERIZACION,"

15 g. 
25 g.",Bovinos.
LIFEGARD-T,"

5 g.",No aplica.
LINCO-SPECTIN 100 NF,"

0.222 g.
0.445 g.",Aves y Porcinos.
ROBIMAX,"


66 g.",Aves.
UROSEMID,"

5,0 g.","Bovinos, Equinos, Porcinos, Caninos y Felinos."
EASOTIC,"

1,11 mg.
15,1 mg.
1505 UI.",Caninos.
CICLASE DL,"

263 µg.","Bovinos, Ovinos, Caprinos, Equinos y Porcinos."
RICOMAX NF,"

15 g.",Bovinos.
GROOMERS BLEND OATMEAL ITCH RELIEF CONDITIONER,,Caninos y Felinos.
GROOMERS BLEND OATMEAL ITCH RELIEF SHAMPOO,"

       5 g.
     10 g.
       1 g.
       3 g.
     10 g.
     20 g.
     25 g.
     40 g. 
     70 g.
1000 ml.","Caninos, Felinos y Caprinos."
HAPPY HAIR MAS COLOR,"

10 g. 
","Caninos, Felinos y Caprinos."
HAPPY HAIR SHAMPOO HERBAL,"

10 g. 
0.1 g. 
","Caninos, Felinos y Caprinos."
PUPPY FRESH SHAMPOO (GROOMERS BLEND),"

10 g.",Caninos y Felinos.
POLADIN SENIOR,"

  200 mg. 
  160 mg. 
  100 mg. 
    40 mg. ",No informa
CERO LAQ,"

0,5 g.",Bovinos
OVERMECTINA TOTAL EQUINOS,"

1,2 g.
 15 g.",Equinos.
U - 20,"

5g.",Bovinos
SULFADOXINA Y TRIMETOPRIM,"

200 mg.
  40 mg.",No informa
PRAZIVET GATOS,"

  20 mg.
230 mg.",Felinos
FUROLAX,"

50 mg.","Bovinos, Equinos, Porcinos, Caprinos, Ovinos, Caninos y Felinos."
NUTALC,"

28 g.
  1 g.",Porcinos.
CONDROITIN 10 INYECTABLE,"

0.1 g.",Equinos.
OSTEOCART EQUINOS,"

   3.33 g.
   4.00 g.
   0.53 g.
   0.66 g.
   0.27 g.
   0.27 g.
   2.67 g.
   1.33 g.
   2.00 g.
   0.67 g.
   0.67 g.
   0.27 g.
 0.006 g.
   ",Equinos.
DIB 0.5,"

0,5 g.",Bovinos.
OTC-VET 20% L.A.,"

200 mg.","Aves, Bovinos, Ovinos, Caprinos y Porcinos"
CREMA 6A,"

0.025 g.
0.250 g.
50000 U.I
1 g.","Caninos, Felinos y Equinos"
DICLORVOS VPM EC 50%,"

50 g.",No aplica
TOTAL FLC PERROS MEDIANOS,"

50 mg.
50 mg.
500 mg.",Caninos
TOTAL FLC PERROS CHICOS,"

25 mg.
25 mg.
250 mg.",Caninos
VIROSHIELD,"

15 g. 
10 g.",No aplica
ALDAZOL 10 Co,"

10 g.","Bovinos, Ovinos y Caprinos"
ESTERILSOL,"

13.1 mg.",Caninos y Felinos
DEHORNING PASTE DR. NAYLOR ®,"

37.8 g.
24.9 g.","Bovinos, Ovinos y Caprinos"
ECOCOX,"


12 g.
",Aves
DORASULES,"

1 g.","Bovinos, Ovinos y Porcinos"
AMBIFLUD BENZURON,"

10 g.",No aplica
KUALCOVIT SOLUCION INYECTABLE,"

5 g.
0.15 g.
1.5 g.
5.000 ug.
15 g.
5 g.","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Felinos"
NICOCCIL,"

7.50 g.
80.00 g.",Aves
TOTAL F LC PERROS GRANDES,"

100 mg.
1000 mg.
100 mg.",Caninos
OSTEOCREM,"

5 g.
10 g.",Equinos
DELTAFORCE VPM 2.5% EC,"


25 g.",Aves y Bovinos
CALCIO-CAL NF,"
552.8 mg.

64.3 mg.

3.38 mg.
","Bovinos, Equinos, Porcinos, Ovinos, Caprinos y Caninos"
DROXYVET,"

1000 mg.",Caninos y Felinos
CEFLORSOL 30,"

300 mg.",Bovinos y Porcinos
HPPA,"

49 g.
230 g.
50 g.",No aplica
TOTAL F LC GATOS,"

80 mg.
80 mg.
200 mg.",Felinos
RHEMOX PREMIX,"

100 mg.",Porcinos 
DENAGARD 80%,"

80 g.",Porcinos y Aves
KENOSTART,"





5 g.","Bovinos, Ovinos y Caprinos. "
