No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
1425,30-07-2014/ 2334,,BULLET,INTEROC S.A SUCURSAL COLOMBIA,FENPROPIMORPH,880 g/L,III,FUNGICIDA,LIQUIDO MISCIBLE EN ACEITE OL,ECUADOR CHINA,BANANO,Table_31
1426,11/04/2014 /1117,"10-12-2014/ 4265
21-05-2015/ 1508
01-03-2018/ 21165
01-01-2019/ 0020",PASSAT® 450 SC,HANSEANDINA LTDA,PROPAMOCARB CYMOXANIL,"400 g/L
50 g/L",III,FUNGICIDA,SC,LIECHTENSTEIN BULGARIA,"ROSA, TOMATE, TOMATE DE ARBOL, LULO, UCHUVA, BERENJENA,, AJI, PIMENTON,, PAPA",Table_31
1427,25-02-2014/667,"11380 19/09/ 2017 21-08-
2020/ 073993",BONUS®250 EC,SYNGENTA S.A,TRINEXAPAC ETHYL,250 g/L,III,REGULADOR FISIOLOGICO,EC,"SUIZA, ALEMANIA, BÉLGICA, HUNGRÍA",CAÑA DE AZUCAR,Table_31
1428,28-02-2014/ 711,14-09-2015/ 3255,ATRAZINE HXS 90 WG,HANSEANDINA LTDA,ATRAZINA,900 gKg,III,HERBICIDA,WG,CHINA,MAIZ,Table_31
1430,25-02-2014/ 666,"16-10-2014/ 3241
16-06-2020/ 069936",BLACKHAWK* WG,DOW AGROSCIENCES DE COLOMBIA S.A,SPINOSAD,360 g/Kg,III,INSECTICIDA,WG,EE.UU,"ROSA,,CLAVEL",Table_31
1431,28-02-2014/ 717,20-05-2019/ 6769,CARBENDAZIM RAINBOW 500 SC,RAINBOW AGROSCIENCES S.A.S,"CARBENDAZIM
204 de 365",500 g/L,III,FUNGICIDA,SC,CHINA,ARROZ,Table_31
1432,28-02-2014/ 718,,TRICYMIDA 370 FS-DVA,DVA DE COLOMBIA LTDA,IMIDACLOPRID TRICYCLAZOLE,"120 g/L
250 g/L",III,INSECTICIDA,FS,CHINA,ARROZ,Table_31
1433,17/03/2014/ 846,,KRAZZ,INTEROC S.A SUCURSAL COLOMBIA,HALOXYFOP R METHYL,240 g/L,II,HERBICIDA,EC,CHINA,ARROZ,Table_31
1434,05-03-2014/ 761,10-07-2020/ 071364,LUFENURON 50 EC-DVA,DVA DE COLOMBIA LTDA,LUFENURON,50 g/L,III,INSECTICIDA,EC,CHINA,PALMA DE ACEITE,Table_31
1435,11-03-2014/ 810,"19-04-2017/ 4298
01-12-2018/ 37492",ROCCO 250 SC,AGRO-LEAD COLOMBIA S.A.S,QUINCLORAC,250 g/L,III,HERBICIDA,SC,CHINA,ARROZ,Table_31
1436,11-03-2014/ 811,14-09-2015/ 3254,AMETHRYN 500 HXS,HANSEANDINA LTDA,AMETRINA,500 g/L,II,HERBICIDA,SC,CHINA,CAÑA DE AZUCAR,Table_31
1437,17-03-2014/ 844,04-10-2019/ 15860,CLORIMURON RAINBOW 25 WG,RAINBOW AGROSCIENCES S.A.S,CLORIMURON ETIL,250 g/Kg,III,HERBICIDA,WG,CHINA,SOYA,Table_31
1438,25-03-2014/ 973,"11580 22/09/2017
05-02-2020/ 61393",PINCEL 500 EC,UPL COLOMBIA S.A.S,"CLOMAZONE
205 de 365",500 g/L,III,HERBICIDA,EC,INDIA,ARROZ,Table_31
1439,08-04-2014 1080,"29-11-2014/ 4158
09-02-2015/ 310
16-05-2018/ 24766",CATOMBE FORTE 5.5%EC,QUIMICOS OMA S.A,ABAMECTINA  FENAZAQUIN,"35 g/L
20g/L",III,INSECTICIDA,EC,COLOMBIA,"CEBOLLA BULBO, CLAVEL, FRESA, ROSAS, PAPAYA",Table_31
1440,02-04-2014/ 1053,"10-12-2014/ 4263
18-11-2016/ 16459
20-12-2018/ 39340",TAMIZ®,NUFARM COLOMBIA S.A,TEBUCONAZOLE AZOXYSTROBIN,"160g/L
120g/L",II,FUNGICIDA,SE,NUEVA ZELANDA BRASIL COLOMBIA,"ARROZ, CEBOLLA BULBO, AGUACATE, TOMATE",Table_31
1441,31-03-2014/ 1018,"10-12-2014/ 4256
18-11-2016/ 16408
20-06-2017/ 7472
19-12-2018/ 39125   28-05-
2020/  068461",MILBEKNCK®1 EC,SUMMIT AGRO COLOMBIA S.A.S,MILBEMECTIN,9.3 g/L,II,ACARICIDA,EC,JAPON,"CLAVEL, ROSA, ARROZ, NARANJA, FRESA, AGUACATE",Table_31
1442,31-03-2014/ 1017,"28-11-2014/ 4158
03-02-2015/ 281
26-07-2018/ 28803
17-12-2019/ 21039",REQUIEM SC,INVESA S.A,TIAMETOXAM LAMBDACIHALOTRINA,"140 g/L
106 g/L",II,INSECTICIDA,SC,COLOMBIA,"TOMATE, PASTOS,, PAPA, BERENJENA, LULO,
TOMATE DE ARBOL, PIMENTON, ARROZ, FRIJOL,
CAFÉ,  NARANJA, MANDARINA,  LIMA, TANGELO, TORONJA,
LIMON,, ROSA, CLAVEL, CRISANTEMO, GERBERA, ALSTROMELIA",Table_31
1443,23-05-2014/ 1561,19-06-2014/ 1945,TEBUNOL INPRO300 EC,"INDUSTRIA PRODUCTORA DE ARROZ S.A ""INPROARROZ S.A""",TEBUCONAZOL TRIADIMENNOL,"225 g/L
75 g/L",III,FUNGICIDA,EC,CHINA,"ARROZ, TOMATE,  ROSAS",Table_31
1444,11-04-2014/ 1116,"30-03-2016/ 3164     25-11-
2016 / 17106 28-10-2017/
13788",KRUGA™ SC,DOW AGROSCIENCES DE COLOMBIA S.A,FENBUCONAZOL,240 g/L,III,FUNGICIDA,SC,ESTADOS UNIDOS,"ARROZ, PAPA, TOMATE, MAIZ, BANANO, AGUACATE",Table_31
1445,23-05-2014/ 1558,"17-06-2014/ 1813
18-05-2016/ 5642",PARTNER®50 WP,INVESA S.A,METSULFURON-METHYL,500 g/Kg,III,HERBICIDA,WP,CHINA,"ARROZ, POTREROS",Table_32
1446,06-06-2014/ 1696,"30-07-2015/ 2693
16-06-2020/ 069937",MONACO,AVGUST COLOMBIA S.A.S.,AZOXYSTROBIN,250 g/L,II,FUNGICIDA,SC,CHINA,ARROZ,Table_32
1447,04-07-2014/ 2047,13-08-2020/ 073281,AZOXIDIFENO 335 SC-DVA,DVA DE COLOMBIA LTDA,AZOXYSTROBIN DIFECONAZOLE,"200 g/L
125 g/L",II,FUNGICIDA,SC,CHINA URUGUAY,"ARROZ, TOMATE, FRIJOL",Table_32
1448,07-05-2014/ 1278,"25-06-2015/ 2034
09-04-2019/ 4384
03-07-2020/ 070952",RIFLE®200 SC,NUFARM COLOMBIA S.A,FRIPRONIL,200 g/L,II,INSECTICIDA,SC,CHINA INDIA,"PAPA,  POTRERO,, ARROZ",Table_32
1449,16-05-2014/ 1349,,SIDECAR®STAR WG,ISAGRO COLOMBIA S.A.S,BENALAXIL-M CLOROTALONIL,"52.6 g/Kg (50)  507.6
G/Kg (500)",III,FUNGICIDA,WG,ITALIA BRASIL,"PAPA,,TOMATE, ROSA",Table_32
1450,23-05-2014/ 1557,"26-08-2014/ 2637
12-12-2019/ 20329",ASTUTO 200 SC,INVESA S.A,FIPRONIL,200 g/L,II,INSECTICIDA,SC,COLOMBIA,PASTO KIKUYO,Table_32
1451,13-06-2014/ 1754,"16-05-2018/ 24768
09-04-2019/ 4401
11-06-2019/ 7856",DUSTIN 720 SC,AGRO LEAD COLOMBIA S.A.S,"CLOROTALONIL
207 de 365",720 g/L,II,FUNGICIDA,SC,CHINA,ARROZ TOMATE,Table_32
1452,26-02-2015/ 633,"0-03-2017/ 2465
02-05-2018/ 24008",MAPLEFON 250 EC,AGRO LEAD COLOMBIA S.A.S,TRIADIMEFON,250 g/L,III,FUNGICIDA,EC,CHINA,ARROZ,Table_32
1453,23-05-2014/ 1564,"31-01-2020/ 61132
26-05-2020/ 068280",HERTALIN® 500 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,PENDIMETALINA,500 g/L,II,HERBICIDA,EC,COLOMBIA,ARROZ,Table_32
1454,14-05-2014/ 1325,"20-01-2016/ 543 30-06-2020/
070738",HELMITOX 400 EC,HELM ANDINA S.A.S,DIMETHOATE,400 g/L,III,INSECTICIDA,EC,CHINA,"NARANJA, TOMATE, PAPA, PRADERAS, ARROZ",Table_32
1455,04-07-2014/ 2045,18-11-2016/ 16413,TROYANO® 500 WP,TRUST QUIMICA S.A.S.,DIMETHOMORPH,500 g/Kg,III,FUNGICIDA,WP,CHINA,"ROSA, TOMATE",Table_32
1456,25-09-2014/ 3066,20-12-2018/ 39342,DACONIL® 720 SC,SYNGENTA S.A,CLOROTALONIL,720 g/L,II,FUNGICIDA,SC,ESTADOS UNIDOS COLOMBIA,"PAPA, TOMATE, CEBOLLA, FRIJOL, MELON, ZANAHORIA, CLAVEL, ARROZ, BANANO,
PLATANO, TOMATE DE ARBOL, UCHUVA, ARVEJA",Table_32
1457,23-05-2014/ 1562,04-10-219/ 15860,CLOTIANIDINA RAINBOW 50 WG,RAINBOW AGROSCIENCES S.A.S,CLOTHIANIDIN,500 g/Kg,III,INSECTICIDA,WG,CHINA,PASTOS,Table_32
1458,23-05-2014/1568,04-10-2019/ 15860,AZOXISTROBIN + CIPROCONAZOLE RAINBOW 280 SC,RAINBOW AGROSCIENCES S.A.S,"AZOXYSTROBIN + CYPROCONAZOLE
208 de 365","200 g/L
80g/L",III,FUNGICIDA,SC,CHINA,CAFÉ,Table_32
1459,23-05-2014/ 1567,"30-05-2019/ 7268
04-10-2019/ 15860",AMINA RAINBOW 720 SL,RAINBOW AGROSCIENCES S.A.S,"2,4-D",720 g/L,II,HERBICIDA,SL,CHINA,ARROZ,Table_32
1460,23-05-2014/ 1566,24-07-2015/ 2524,FOKUS SL,HANSEANDINA LTDA,FOMESAFEN,250 g/L,II,HERBICIDA,SL,CHINA,"SOYA,  FRIJOL",Table_32
1461,19-06-2014/ 1944,,OXACLOR VECOL 580 EC,"EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS
S.A ""VECOL S.A""",OXADIAZON+ PRETILACHLOR,"250 g/L
330g/L",III,HERBICIDA,EC,CHINA,ARROZ,Table_32
1462,23-05-2014/ 1644,,KING SC,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",CARBENDAZIM ISOPROTIOLANE,"300 g/L
150 g/L",III,FUNGICIDA,SC,VENEZUELA,ARROZ,Table_32
1463,13-06-2014/ 1753,"21-11-2018/ 36380
13-08-2019/ 12135",CAMPOTIN® 18 EC,CAMPO CIENCIA AGRO S.A.S,ABAMECTINA,18 g/L,III,INSECTICIDA ACARICIDA,EC,CHINA,"ROSA, TOMATE",Table_32
1464,04-06-2014/ 1664,14-09-2015/ 3253,ATRAZINE 80 HXS®,HANSEANDINA LIMITADA,ATRAZINA,800 g/ Kg,III,HERBICIDA,WP,CHINA,MAIZ,Table_32
1465,29-05-2014/ 1638,04-10-2019/ 15860,CARFENTRAZONE ETHYL RAINBOW 400 EC,RAINBOW AGROSCIENCES S.A.S,"CARFENTRAZONE ETHYL
209 de 365",400 g/L,III,HERBICIDA,EC,CHINA,PAPA,Table_32
1466,13-06-2014/ 1751,20-12-2018/ 39289,CAMPOBAC®400 SC,CAMPO CIENCIA AGRO S.A.S,BISPYRIBAC SODIUM,400 g/L,III,HERBICIDA,SC,CHINA,ARROZ,Table_32
1467,13-06-2014/ 1752,"11-06-2019/ 7825
13-09-2019/ 14208",CAMPO IMIDA® 350 SC,CAMPO CIENCIA AGRO S.A.S,IMIDACLOPRID,350 g/L,III,INSECTICIDA,SC,CHINA,"ARROZ, TOMATE",Table_32
1468,13-06-2014/ 1756,04-10-2019/ 15860,EMAMECTIN BENZOATE RAINBOW 5 SG,RAINBOW AGROSCIENCES S.A.S,EMAMECTIN BENZOATE,50 g/Kg,III,INSECTICIDA,SG,CHINA,TOMATE,Table_32
1469,13-06-2014/ 1755,06-05-2016/ 5017,QUICKER®480 SL,RAINBOW AGROSCIENCES S.A.S,ETHEPHON,480 g/L,III,REGULADOR FISIOLOGICO,SL,CHINA,PIÑA,Table_32
1470,27-06-2014/ 1995,"08-05-2018/ 24322 24-06-
2019( 8482",TAKADA 500 SC-DVA,DVA DE COLOMBIA LTDA,AZOXYSTROBIN FLUTRIAFOL,"250 g/L
250 g/L",III,FUNGICIDA,SC,CHINA,"ARROZ,  ALGODÓN, CAFÉ TOMATE,  AGUACATE, MAIZ",Table_32
1471,27-06-2014/ 1999,,PANOL 722 SL,RAINBOW AGROSCIENCES S.A.S,PROPAMOCAR HYDROCHLORIDE,722 g/L,III,FUNGICIDA,SL,CHINA,PAPA,Table_32
1472,04-07-2014/ 2041,"25-03-2019/ 3355
02-05-2019/ 5859",DUOGEN® 280 SC,CAMPO CIENCIA AGRO S.A.S,"AZOXYSTROBIN CYPROCONAZOLE
210 de 365","200 g/L
80 g/L",III,FUNGICIDA,SC,CHINA,"CAFÉ, CEBOLLA",Table_32
1473,04-07-2014/ 2038,,AZOXIL ONIL 560 SC-DVA,DVA DE COLOMBIA LTDA,AZOXYSTROBIN CLOROTALONIL,"80 g/L
500 g/L",III,FUNGICIDA,SC,CHINA,TOMATE,Table_32
1474,12-08-2014/ 2438,02-09-2016/ 11301,TROMPA®SB,VECTORS AND PEST MANAGEMENT LTDA,ABAMECTINA,0.5 g/Kg,III,INSECTICIDA,SB,MEXICO,"CAFÉ,  CACAO,  AGUACATE, YUCA,  PLATANO, MANGO,
CAÑA, NARANJA, MANDARINA, LIMON, FORESTALES",Table_32
1475,04-07-2014/ 2039,"08-08-2018/ 29692
01-01-2019/ 036
30-05-2019/ 7267",CAMPO DAZIM 500 SC,CAMPO CIENCIA AGRO S.A.S,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA,"ARROZ,  PAPA",Table_32
1476,04-07-2014/ 2040,11-03-2019/ 2504,CAMPOGAN 304 SL,CAMPO CIENCIA AGRO S.A.S,"PICLORAM+ACIDO 2,4D",64 g/L,III,HERBICIDA,SL,CHINA,POTREROS,Table_32
1477,04-07-2014/ 2042,"21-05-2015
22-12-2015/ 3857
07-10-2017/12365",DISARM®480 SC,ARYSTA LIFESCIENCE DE COLOMBIA S.A.S,FLUOXASTROBIN,480 g/L,III,FUNGICIDA,SC,ESTADOS UNIDOS COLOMBIA,"ROSA, CLAVEL, NARANJA, FRESA, UVA, MORA",Table_32
1478,08-08-2014/ 2388,26-11-2019/ 19015,METSULFURON  RAINBOW 60 WG,RAINBOW AGROSCIENCES S.A.S,METSULFURON METHYL,600 g/Kg,III,HERBICIDA,WG,CHINA,POTREROS,Table_32
1479,16-07-2014/ 2166,"30-05-2019/ 7280
13-08-2019/ 12139",BENOMYL DEL MONTE 50 WP,DEL MONTE AGROSCIENCES S.A.S,"BENOMYL
211 de 365",500 g/Kg,III,FUNGICIDA,WP,CHINA,"ALGODÓN,  UVA",Table_32
1480,08-08-2014/ 2417,04-10-2019/ 15860,ETHPYRI 600 SC,RAINBOW AGROSCIENCES S.A.S,PYRIMETANIL,600 g/L,III,FUNGICIDA,SC,CHINA,TOMATE,Table_32
1481,08-08-2014/ 2394,21-07-2015/ 2468,TANREK®500 SC,AVGUST COLOMBIA S.A.S.,IMIDACLOPRID,500 g/L,II,INSECTICIDA,SC,RUSIA CHINA,"ROSA, TOMATE, ARROZ, MAIZ",Table_32
1482,04-09-2014/ 2776,"06-10-2015/ 3577
13-09-2019/ 14484",ZYNGO 700 SL,PHYTOCARE S.A.S,PROPAMOCARB HYDROCHLORIDE,700 g/L,II,FUNGICIDA,SL,CHINA,"TOMATE,  PAPA",Table_32
1483,29-09-2014/  3105,,PARAQUAT NEW BRIDGE,NEW BRIDGE AGROCHEM COLOMBIA LTDA,PARAQUAT,200 g/L,IA,HERBICIDA,SL,REINO UNIDO,PAPA ARROZ,Table_32
1484,29-09-2014/ 3100,"26-12-2014/ 4619
22-08-2018/ 30625",STAMONE®,RICECO INTERNACIONAL COLOMBIA S.A.S,PROPANIL CLOMAZONES,"456 g/L
114 g/L",III,HERBICIDA,EC,COLOMBIA INDIA,ARROZ,Table_32
1485,08-08-2014/ 2395,,IMIDACLOPRID 600 FS-DVA,DVA DE COLOMBIA LTDA,IMIDACLOPRID,600 g/L,IB,INSECTICIDA,FS,CHINA,ARROZ,Table_32
1486,08-08-2014/ 2396,"22-04-2016/ 4419
28-02-2017/ 2214
06-04-2017/ 3941",MINK 300 EC,NOVAG S.A.S,TEBUCONAZOLE TRIADIMENOL,"225 g/L
75 g/L",III,FUNGICIDA,EC,CHINA,"ARROZ, ROSA, CEBOLLA, LARGA, CEBOLLIN, CEBOLLIN CHINO,
CEBOLLA DE BULBO, PUERRO, TOMATE, UCHUVA,  LULO, TOMATE DE ARBOL, AJI,  PIMENTON,
BERENJENA, ,AJI DULCE, BANANO, PLATANO,  ARROZ, ROSA, TOMATE, BETACEA, CAUCHO, CAFE",Table_33
1487,08-08-2014 / 2387,07-07-015/2319,MITERRA,ANASAC COLOMBIA LTDA,THIAMETOZAM LAMBDA-CYALOTRINA,"141/g/L,
106 g/L",II,INSECTICIDA,SC,CHINA,"ARROZ, PAPA, TOMATE",Table_33
1488,08-08-2014/ 2389,,RAINBONIL PRO 80 WG,RAINBOW AGROSCIENCES S.A.S,FIPRONIL,800 g/Kg,III,INSECTICIDA,WG,CHINA,POTREROS,Table_33
1489,14-08-2014/ 2501,25-03-2019/ 3391,GENBIN 500 WG,CAMPO CIENCIA AGRO S.A.S,AZOXYSTROBIN,0.5,III,FUNGICIDA,WG,CHINA,"ARROZ, TOMATE",Table_33
1490,08-08-2014/ 2418,"13-08-2019/ 12139
17-11-2019/ 18447
25-11-2019/ 18824",DIFENOCONAZOLE  DEL MONTE 250 EC,DEL MONTE AGROSCIENCES S.A.S,DIFECONAZOLE,250 g/L,II,FUNGICIDA,EC,CHINA,"TOMATE, BANANO",Table_33
1491,08-08-2014/ 2392,"26-12-2018/ 39879
30-05-2019/ 7265",CAMPOFUL®720 WP,CAMPO CIENCIA AGRO S.A.S,CYMOXANIL MANCOZEB,80 g/Kg 640g/Kg,III,FUNGICIDA,WP,CHINA,PAPA,Table_33
1492,08-08-2014/ 2393,24-12-2019/ 39510,CAMPO AMIN®720 SL,CAMPO CIENCIA AGRO S.A.S,"2,4-D",720 g/L,III,HERBICIDA,SL,CHINA,"ARROZ, CAÑA DE AZUCAR",Table_34
1493,08-08-2014/ 2416,,KRESOXYM METIL 500 WG-DVA,DVA DE COLOMBIA LTDA,KRESOXYM-METYL,500 g/Kg,III,FUNGICIDA,WG,INDIA,ROSA,Table_34
1494,12-08-2014/ 2473,,LYON 60 ME,QUIMICOS OMA S.A,OXADIAZON,60 g/L,II,HERBICIDA,ME,COLOMBIA CHINA,ARROZ,Table_34
1496,14-08-2014/ 2502,07-10-2016/ 13848,VERIMARK®,DUPON DE COLOMBIA S.A,CYANTRANLIPROLE,18.66% w/w,III,INSECTICIDA,SC,ESTADOS UNIDOS BRASIL,"TOMATE,  PIMENTON, ARVEJA,  REPOLLO, LECHUGA",Table_34
1497,14-08-2014/ 2509,,KONDOR XTRA 70 WG,RAINBOW AGROSCIENCES S.A.S,IMIDACLOPRID,7,III,INSECTICIDA,WG,CHINA,ARROZ,Table_34
1498,14-08-2014/ 2499,12-02-2020/ 61932,BORRASCA®450 EC,LABORATORIOS CHALVER DE COLOMBIA S.A,OXADIAZON+BUTACLOR,"150 g/L
300 g/L",III,HERBICIDA,EC,COLOMBIA,ARROZ,Table_34
1499,14-08-2014/ 2498,"22-10-2017/ 12842
19-12-2018/ 39119
30-11-2019/ 19355",ZULU SL,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""","GLUFOSINATO DE AMONIO
214 de 365",150 g/L,III,HERBICIDA,SL,VENEZUELA,"ARROZ, PLATANO, BANANO, MAIZ CAFÉ,AGUACATE",Table_34
1500,26-08-2014/ 2338,,CLORIMURON VECOL 25% WG,EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS VECOL S.A,CLORIMURON ETHIL,250 g/Kg,III,HERBICIDA,WG,CHINA,SOYA,Table_34
1501,16-10-2014/ 3240,,GRAMILAQ® 40 EC,"IMPORTADORA COLOMBIANA DE PRODUCTOS VETERINARIOS ""IMCOLVET LTDA""",PENDIMETALINA,400 g/L,III,HERBICIDA,EC,ECUADOR,ARROZ,Table_34
1502,14-08-2014/ 2503,"12-02-2015/ 409,
01-12-2015/ 1655
19-08-2019 12666
02-10-2019/ 15631
08-09-2020/ 075062",SPIDER 250 SC,INVESA S.A,IMIDACLOPRID LAMBDACIHALOTRINA,"200 g/L
50 g/L",II,INSECTICIDA,SC,COLOMBIA,"TOMATE, PASTO KIKUYO, MAIZ,, PAPA, ARROZ, AGUACATE, MARACUYA, GULUPA, CURUBA, GRANADILLA,  BADEA, CHULUPA",Table_34
1503,26-08-2014/ 2639,"27-04-2016/ 4581
13-03-2017/ 2708
10-12-2018/ 38009
07-09-2019/ 13948",MINOTAURO 250 SC,ISAGRO COLOMBIA S.A.S,AZOXYSTROBIN,250 g/L,II,FUNGICIDA,SC,CHINA PARAGUAY,"ARROZ, TOMATE, GULUPA",Table_34
1504,26-08-2014/ 2659,"17-11-2015/ 476
10-07-2020/ 071356",HELMSTAR 50 WG,HELM ANDINA S.A.S,AZOXYSTROBIN,500 g/Kg,III,FUNGICIDA,WG,CHINA,"ROSA, TOMATE, FRIJOL, BANANO",Table_34
1505,04-09-2014/ 2781,11-09-2020/075366,NAVIUS®,DUPONT DE COLOMBIA S.A,AMINOCYCLOPYRACHLOR+METSULF URON METHYL,"39.5%
12.6%",III,HERBICIDA,WG,ESTADOS UNIDOS,POTREROS,Table_34
1506,04/09/2014/ 2779,"01-10-2018/ 33413
30-10-2018/35263
22-07-2019/ 10572",CRANSTANTM SPECTRUM,DOW AGROSCIENCES DE COLOMBIA S.A.,"FLUROXIPYR METIL CYHALOFOP BUTYL
215 de 365","230.7 g/L
184.3 g/L",III,HERBICIDA,EC,ESTADOS UNIDOS COLOMBIA,ARROZ,Table_34
1507,04-09-2014/ 2780,"22-04-2016/ 4430
01-03-2017/ 2228",PRIMIUM AG 500 EC,NOVAG S.A.S,PROPICONAZOL DIFECONAZOL,"250 g//L
250 g/L",III,FUNGICIDA,EC,CHINA,ARROZ,Table_34
1508,17-09-2014/ 2849,24-02-2017/ 2041,OXOLINA 200 FS,NOVAG S.A.S,ACIDO OXOLINICO,200 g/L,III,BACTERICIDA,FS,CHINA,ARROZ,Table_34
1509,08-09-2014/ 2797,"10-12-2014/ 4265
10-03-2015/ 717
06-05-2016/ 5024
26-07-2016/ 9246
08-02-2017/ 1039
28-02-2017/ 2213",LAMDAPRID 430 SC,NOVAG S.A.S,IMIDACLOPRID + LAMBDACIALOTRINA,"350 g/L
80 g/L",II,INSECTICIDA,SC,CHINA,"GUAYABA, ARROZ, PAPA, PLATANO, BANANO, LIMON, MANDARINA,
NARANJA, ,LIMA, TANGELO, TORONJA, PALMA",Table_34
1510,19-09-2014/ 3002,16-05-2018/ 24872,VALIENTE 100 ME,QUIMICOS OMA S.A,TRIDEMORPH,100 g/L,III,FUNGICIDA,ME,COLOMBIA CHINA,BANANO,Table_34
1511,11-09-2014/2851,"07-03-2016/ 2259
15-06-2018/ 26778
08-08-2018/ 29696
16-04-2020/  065454",IMPACT MIX,FMC COLOMBIA S.A.S,IMIDACLOPRID FLUTRIAFOL,"233 g/L,
187.5 g/L",III,INSECTICIDA,SC,ALEMANIA URUGUAY ARGENTINA,"CAFÉ,, ROSA",Table_34
1512,29-09-2014/ 3103,"07-03-2016/ 2195
17-04-2017/ 4156",OCAREN,INTEROC S.A SUCURSAL COLOMBIA,FIPRONIL,800 g/Kg,II,INSECTICIDA,WG,ECUADOR CHINA,"PASTO, ROSA",Table_34
1513,29-09-2014/ 3110,"25-06-2015/ 2037
30-07-2015 / 2695
17-05-2017/ 5555
01-01-2019/ 0040",BINGO®SG,HANSEANDINA LIMITADA,"EMAMECTIN BENZOATE TECH (B1 95%)  ACETAMIPRID TECH(96%)
216 de 365","5.3% , 25%",III,INSECTICIDA,SG,CHINA,"MAIZ, TOMATE, ARROZ, ALGODÓN, PAPA, SOYA, AJI, TOMATE DE ARBOL, UCHUVA, BERENJENA",Table_34
1514,19-09-2014/ 3001,,SAMBALAT 10 EC,DACARSA E.U,ALFACIPERMETRINA,100 g/L,III,INSECTICIDA,EC,COLOMBIA,ARROZ,Table_34
1515,19-09-2014/ 3003,16-10-2014/ 3267,PROPANIL 500 EC AGRLMS®,"COMPAÑÍA DE SUMINISTROS AGRICOLAS Y VETERINARIOS
S.A.S ""SUCROP S.A.S""",PROPANIL,480 g/L,II,HERBICIDA,EC,VENEZUELA,ARROZ,Table_34
1516,29-09-2014/ 3104,04-10-2019/ 15860,BOSCALID + PYRACLOSTROBIN RAINBOW 38 WG,RAINBOW AGROSCIENCES S.A.S,BOSCALID PIRACLOSTROBIN,"252 g/Kg
128 g/kg",III,FUNGICIDA,WG,CHINA,ROSA,Table_34
1517,16-10-2014/ 3247,"18-05-2016/ 5672
23/09/2017/ 11597",GLUFOSINATO DE AMONIO 200 SL DVA,DVA DE COLOMBIA LTDA,GLUFOSINATO DE AMONIO,200 g/L,III,HERBICIDA,SL,CHINA,"ARROZ,  POTREROS, ALGODÓN,  BANANO, PIÑA",Table_34
1518,03-10-2014/ 3172,,LAMBDACIHALOTRINA 250 CS- DVA,DVA DE COLOMBIA LTDA,LAMBDACIHALOTRINA,250 g/L,II,INSECTICIDA,CS,INDIA,PASTOS,Table_34
1519,16-10-2014/ 3269,04-10-2019/ 15860,BENOMYL RAINBOW 50 WP,RAINBOW AGROSCIENCES S.A.S,BENOMYL,500 g/Kg,III,FUNGICIDA,WP,CHINA,"FRIJOL, TOMATE",Table_34
1520,16-10-2014/ 3244,"30-11-2015/ 1495
29-11-2019/ 19303
21-08-2020/ 073977",RAUS 500 EC,AGROCENTRO COLOMBIA S.A.S,"DIFECONAZOL PROPICONAZOL
217 de 365","250 g/L
250 g/L",III,FUNGICIDA,EC,CHINA,ARROZ,Table_34
1521,16-10-2014/ 3252,,CYPROCONAZOLE+AZOXYSTROB IN DELMONTE 280 SC,DELMONTE AGROSCIENCES S.A.S,CYPROCONAZOLE+ AZOXYSTROBIN,"80 g/L
200 g/L",III,FUNGICIDA,SC,CHINA,CAFÉ,Table_34
1522,16-10-2014/ 3270,"11-04-2018/ 22924
22-08-2018/ 30608
22-07-2019/ 10571",BRAKUS WG,SEMBRO S.A,FIPRONIL,800 g/Kg,II,INSECTICIDA,WG,CHINA,"ARROZ,  NARANJA,  LIMON, MANDARINA, TANGELO,
TORONJA, TOMATE, PLATANO,  PASTOS, PAPA",Table_34
1523,16-10-2014/ 3268,"29-05-2018/ 25938
07-11-2018/ 35686",STUKA GRANOS,ANASAC COLOMBIA LTDA,PIRIMIFOS METIL + DELTAMITRINA TCNICA,"250 g/L
10 g/L",III,INSECTICIDA,EC,"CHILE
.CHINA","MAIZ,  ARROZ,  PADDY",Table_34
1524,16-10-2014/ 3256,30-07-2020/ 072358,OXYFLUORFEN 240 EC-DVA,DVA DE COLOMBIA LTDA,OXYFLUORFEN,240 g/L,III,HERBICIDA,EC,CHINA,ARROZ,Table_34
1525,16-10-2014/ 3271,"16-10-2015/ 3683
10-12-2018/ 38003",CYPROX 100 SL,PHYTOCARE S.A.S,CYPROCONAZOL,100 g/L,III,FUNGICIDA,SL,CHINA,"ARROZ, CLAVEL ,CAFE",Table_34
